player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Edmond Sumner,sumneed01,2021,RS,IND,1145,523,-1.698795603326471,-1.388169476358291,-3.086965079684761,-1.246011354979945,-1.98562750767324,-3.231638862653185,-1.703861891426722,-1.589358013970425,-3.293219905397146,-.1465016547857918,-.1465016547857918,0,-1.52467173075866,-1.743675815951627,-3.268347546710288,1.080776300241971
Jae'Sean Tate,tateja01,2021,RS,HOU,3186,1497,-1.289050263381128,1.199080213148404,-.0899700502327236,3.236089432284377,.7539329865500779,3.990022418834455,-.3740155919079056,1.208055338716864,.834039746808958,2.736635536589985,2.736635536589985,0,-1.651452939984195,1.311051248393547,-.340401691590648,-.027451332331654
Jayson Tatum,tatumja01,2021,RS,BOS,3482,1677,3.109115448416168,-1.209920791333622,1.899194657082546,4.095442624261386,1.694586396186605,5.790029020447991,3.476622979281611,-.6743500908691663,2.802272888412445,4.739421563216072,4.739421563216072,0,4.435302315415402,-.4538519411097855,3.981450374305617,-.2365881305374034
Jeff Teague,teaguje01,2021,RS,MIL,197,90,4.823807175174157,-7.469879481667947,-2.64607230649379,3.76052082906685,-12.25550695053359,-8.494986121466743,4.87432619818513,-8.972817012213499,-4.098490814028368,-.0617751031382286,-.0617751031382286,0,3.301015912669624,-8.510513466846483,-5.209497554176859,-.2362395927752744
Jeff Teague,teaguje01,2021,RS,BOS,1279,616,-1.454521442355923,.3085007614218748,-1.146020680934048,2.232615926380892,-.8010629768523654,1.431552949528527,-.7971139808339439,.0977085038019422,-.6994054770320017,.6408327874731042,.6408327874731042,0,-.3110997787456015,-.4774278163621604,-.7885275951077619,-.5693499075416392
Garrett Temple,templga01,2021,RS,CHI,2164,1002,-2.028912745156129,2.556195891839366,.5272831466832364,2.980895719385712,2.851048978488187,5.831944697873899,-1.08987673521027,2.779755453966248,1.689878718755978,2.278050975766509,2.278050975766509,0,-1.603023923001189,2.704756061609519,1.10173213860833,.368915434868873
Tyrell Terry,terryty01,2021,RS,DAL,120,56,-2.912266917844903,4.690628132462532,1.778361214617629,-13.18948395008523,9.637425741992855,-3.552058208092372,-5.22680584935781,6.02487570367729,.79806985431948,.1008965910863199,.1008965910863199,0,-3.21154802926562,3.950079368331021,.7385313390654011,-.4740539366113095
Daniel Theis,theisda01,2021,RS,BOS,2135,1027,-1.212483924508062,2.964581698765319,1.752097774257257,1.663668583671094,-.6180858705621771,1.045582713108917,-.7109661722095183,2.395145675777741,1.684179503568223,2.316191941899799,2.316191941899799,0,-.4515201064167009,2.208899245362597,1.757379138945896,-.3132378002021624
Daniel Theis,theisda01,2021,RS,CHI,261,125,-2.080485475363546,1.211424322024507,-.8690611533390393,2.972444817732376,-3.94214980240522,-.9697049846728438,-1.14303068142276,.205661770908111,-.9373689105146485,.115064826685323,.115064826685323,0,-.8592864586505442,-.444324131728107,-1.303610590378651,-.4678427312573258
Brodric Thomas,thomabr01,2021,RS,CLE,266,129,-1.382544211827763,2.469704552506223,1.08716034067846,.0117223558780827,4.70507105502174,4.716793410899823,-1.086511622333511,3.116394085665838,2.029882463332327,.3140332052911146,.3140332052911146,0,-1.295017598886089,1.209461966829465,-.0855556320566233,-.1792509038873324
Brodric Thomas,thomabr01,2021,RS,HOU,54,24,-5.65773592421265,3.026602309596498,-2.631133614616152,-6.511689003623368,21.80150823570223,15.28981923207887,-6.102742513584474,7.150344864002747,1.047602350418273,.0472895438935567,.0472895438935567,0,-6.894647377021481,2.712355186949298,-4.182292190072182,1.71218682348868
Isaiah Thomas,thomais02,2021,RS,NOP,96,44,-9.177384588002438,1.624012195763921,-7.553372392238517,-6.61832700332578,10.15980907220664,3.541482068880859,-9.211669422478293,3.552883348230299,-5.658786074247994,-.0665706414033532,-.0665706414033532,0,-5.981670820542585,1.337189360887629,-4.644481459654957,1.966363745771033
Matt Thomas,thomama02,2021,RS,TOR,414,192,-2.323264712987897,-5.620943745145964,-7.944208458133861,-7.175905713451583,-1.419592326594808,-8.59549804004639,-3.489956619289658,-5.07075375199007,-8.560710371279727,-.5665658189102714,-.5665658189102714,0,-3.968192177167378,-5.878794019914095,-9.846986197081474,-.468591917679126
Matt Thomas,thomama02,2021,RS,UTA,68,32,-7.673653020863467,-1.308998771838122,-8.982651792701589,-6.947230583838962,12.15746256156201,5.210231977723048,-8.177466548695508,1.252385235260799,-6.925081313434708,-.0692015646178278,-.0692015646178278,0,-3.739614730616202,-1.904645359466971,-5.644260090083172,1.536600415560763
Tristan Thompson,thomptr01,2021,RS,BOS,1785,860,-1.583244494927455,-1.360091435887822,-2.943335930815277,-1.654110626172026,.3021797177358719,-1.351930908436154,-1.718970133504294,-1.097479662121714,-2.816449795626008,-.0290403488564306,-.0290403488564306,0,-1.772206015390934,-.7965484481534615,-2.568754463544395,-.4015133404210824
